Name,ID
1. The Shawshank Redemption,0111161
2. The Godfather,0068646
3. The Dark Knight,0468569
4. The Godfather Part II,0071562
5. 12 Angry Men,0050083
6. Schindler's List,0108052
7. The Lord of the Rings: The Return of the King,0167260
8. Pulp Fiction,0110912
9. The Lord of the Rings: The Fellowship of the Ring,0120737
"10. The Good, the Bad and the Ugly",0060196
11. Forrest Gump,0109830
12. Fight Club,0137523
13. The Lord of the Rings: The Two Towers,0167261
14. Inception,1375666
15. Star Wars: Episode V - The Empire Strikes Back,0080684
16. The Matrix,0133093
17. Goodfellas,0099685
18. One Flew Over the Cuckoo's Nest,0073486
19. Spider-Man: Across the Spider-Verse,9362722
20. Se7en,0114369
21. It's a Wonderful Life,0038650
22. Seven Samurai,0047478
23. The Silence of the Lambs,0102926
24. Interstellar,0816692
25. Saving Private Ryan,0120815
26. City of God,0317248
27. Life Is Beautiful,0118799
28. The Green Mile,0120689
29. Star Wars: Episode IV - A New Hope,0076759
30. Terminator 2: Judgment Day,0103064
31. Back to the Future,0088763
32. Spirited Away,0245429
33. The Pianist,0253474
34. Psycho,0054215
35. Parasite,6751668
36. Gladiator,0172495
37. The Lion King,0110357
38. Léon: The Professional,0110413
39. Oppenheimer,15398776
40. American History X,0120586
41. The Departed,0407887
42. Whiplash,2582802
43. The Prestige,0482571
44. The Usual Suspects,0114814
45. Grave of the Fireflies,0095327
46. Casablanca,0034583
47. Harakiri,0056058
48. The Intouchables,1675434
49. Modern Times,0027977
50. Cinema Paradiso,0095765
51. Once Upon a Time in the West,0064116
52. Rear Window,0047396
53. Alien,0078748
54. City Lights,0021749
55. Apocalypse Now,0078788
56. Memento,0209144
57. Django Unchained,1853728
58. Indiana Jones and the Raiders of the Lost Ark,0082971
59. WALL·E,0910970
60. The Lives of Others,0405094
61. Sunset Blvd.,0043014
62. Paths of Glory,0050825
63. Avengers: Infinity War,4154756
64. The Shining,0081505
65. The Great Dictator,0032553
66. Witness for the Prosecution,0051201
67. Spider-Man: Into the Spider-Verse,4633694
68. Aliens,0090605
