Name,ID
Frank Darabont,0001104
Stephen King,0000175
Tim Robbins,0000209
Morgan Freeman,0000151
Bob Gunton,0348409
Francis Ford Coppola,0000338
Mario Puzo,0701374
Christopher Nolan,0634240
Jonathan Nolan,0634300
David S. Goyer,0275286
Sidney Lumet,0001486
Reginald Rose,0741627
Steven Spielberg,0000229
Thomas Keneally,0447745
Steven Zaillian,0001873
Liam Neeson,0000553
Ralph Fiennes,0000146
Ben Kingsley,0001426
Peter Jackson,0001392
J.R.R. Tolkien,0866058
Fran Walsh,0909638
Philippa Boyens,0101991
Quentin Tarantino,0000233
Roger Avary,0000812
Sergio Leone,0001466
Luciano Vincenzoni,0898812
Agenore Incrocci,0408488
Robert Zemeckis,0000709
Winston Groom,0343165
Eric Roth,0744839
Tom Hanks,0000158
Robin Wright,0000705
Gary Sinise,0000641
David Fincher,0000399
Chuck Palahniuk,0657333
Jim Uhls,0880243
Brad Pitt,0000093
Edward Norton,0001570
Meat Loaf,0001533
Leonardo DiCaprio,0000138
Joseph Gordon-Levitt,0330687
Elliot Page,0680983
Irvin Kershner,0449984
Leigh Brackett,0102824
Lawrence Kasdan,0001410
George Lucas,0000184
Mark Hamill,0000434
Harrison Ford,0000148
Carrie Fisher,0000402
Lana Wachowski,0905154
Lilly Wachowski,0905152
Keanu Reeves,0000206
Laurence Fishburne,0000401
Carrie-Anne Moss,0005251
Martin Scorsese,0000217
Nicholas Pileggi,0683380
Milos Forman,0001232
Lawrence Hauben,0369142
Bo Goldman,0325743
Ken Kesey,0450181
Joaquim Dos Santos,1690966
Kemp Powers,5358492
Justin K. Thompson,1042511
Phil Lord,0520488
Christopher Miller,0588087
Dave Callaham,1709264
Andrew Kevin Walker,0001825
Kevin Spacey,0000228
Frank Capra,0001008
Frances Goodrich,0329304
Albert Hackett,0352443
Akira Kurosawa,0000041
Shinobu Hashimoto,0368074
Hideo Oguni,0644823
Toshirô Mifune,0001536
Takashi Shimura,0793766
Keiko Tsushima,0875477
Jonathan Demme,0001129
Thomas Harris,0365383
Ted Tally,0848217
Jodie Foster,0000149
Anthony Hopkins,0000164
Lawrence A. Bonney,0095029
Matthew McConaughey,0000190
Anne Hathaway,0004266
Jessica Chastain,1567113
Robert Rodat,0734441
Matt Damon,0000354
Tom Sizemore,0001744
Fernando Meirelles,0576987
Kátia Lund,0526199
Paulo Lins,0513130
Bráulio Mantovani,1130251
Alexandre Rodrigues,1179105
Leandro Firmino,1129884
Matheus Nachtergaele,0618690
Roberto Benigni,0000905
Vincenzo Cerami,0148437
Michael Clarke Duncan,0003817
David Morse,0001556
